Date,Open,High,Low,Close,Adj Close,Volume
2019-08-14,133.910004,134.160004,130.979996,131.250000,129.717896,5114200
2019-08-15,131.220001,132.369995,130.250000,131.919998,130.380081,3738900
2019-08-16,133.039993,134.589996,132.949997,133.759995,132.198593,3012000
2019-08-19,134.880005,136.330002,134.880005,135.039993,133.463654,3165100
2019-08-20,135.240005,135.279999,132.809998,133.000000,131.447464,3018600
2019-08-21,134.960007,135.940002,133.800003,134.250000,132.682877,2805700
2019-08-22,134.690002,135.679993,133.809998,134.320007,132.752075,2694900
2019-08-23,133.630005,134.259995,128.830002,129.570007,128.057510,4818400
2019-08-26,131.050003,131.300003,129.160004,129.990005,128.472610,2833900
2019-08-27,131.199997,131.699997,130.309998,131.169998,129.638824,4728000
2019-08-28,130.440002,132.889999,130.039993,132.759995,131.210266,2713600
2019-08-29,134.179993,135.690002,134.039993,134.880005,133.305527,2971800
2019-08-30,135.580002,136.070007,134.360001,135.529999,133.947937,2960600
2019-09-03,134.850006,134.899994,133.330002,134.100006,132.534637,2827900
2019-09-04,135.710007,136.429993,135.149994,136.320007,134.728729,2247900
2019-09-05,138.300003,141.699997,138.050003,140.970001,139.324432,5011600
2019-09-06,141.520004,141.529999,140.460007,140.570007,138.929108,2576800
2019-09-09,140.589996,143.020004,140.460007,142.600006,140.935410,4226600
2019-09-10,143.000000,145.460007,142.960007,145.050003,143.356812,4979700
2019-09-11,144.850006,145.119995,142.710007,143.600006,141.923737,3869700
2019-09-12,144.029999,144.039993,141.880005,143.619995,141.943497,2505400
2019-09-13,144.320007,144.649994,143.259995,143.669998,141.992920,2206600
2019-09-16,142.559998,143.639999,142.270004,142.479996,140.816803,1928500
2019-09-17,142.479996,142.479996,140.660004,142.199997,140.540070,2933200
2019-09-18,142.050003,142.300003,140.509995,142.220001,140.559845,1983600
2019-09-19,142.460007,145.029999,142.449997,142.970001,141.301086,3089900
2019-09-20,143.250000,143.830002,141.820007,141.880005,140.223816,5193400
2019-09-23,141.190002,142.220001,140.559998,142.070007,140.411606,1817900
2019-09-24,142.500000,142.889999,141.070007,141.679993,140.026138,3231600
2019-09-25,141.740005,143.630005,140.860001,143.160004,141.488876,2526700
2019-09-26,143.169998,143.880005,141.410004,143.550003,141.874329,2309800
2019-09-27,144.410004,145.089996,142.380005,143.240005,141.567947,2356800
2019-09-30,143.729996,146.570007,143.729996,145.419998,143.722488,3988400
2019-10-01,145.589996,147.350006,143.539993,143.660004,141.983032,2960800
2019-10-02,142.190002,142.270004,140.570007,141.690002,140.036026,3340800
2019-10-03,141.619995,142.070007,139.179993,142.020004,140.362183,2928800
2019-10-04,142.059998,143.059998,141.029999,142.990005,141.320862,2413600
2019-10-07,142.259995,142.699997,141.220001,141.279999,139.630814,2426500
2019-10-08,140.240005,140.470001,138.250000,138.380005,136.764679,3225400
2019-10-09,139.770004,140.330002,138.789993,139.669998,138.039612,2620800
2019-10-10,139.770004,141.779999,139.559998,141.130005,139.482574,2593700
2019-10-11,142.770004,144.500000,142.610001,142.759995,141.093536,2996800
2019-10-14,142.309998,142.429993,141.320007,142.039993,140.381943,2309500
2019-10-15,142.539993,143.720001,141.809998,143.000000,141.330734,3025500
2019-10-16,142.490005,142.949997,141.389999,142.110001,140.451126,5332600
2019-10-17,135.000000,136.000000,132.910004,134.259995,132.692764,15759800
2019-10-18,134.220001,134.490005,132.250000,134.089996,132.524750,7177500
2019-10-21,132.610001,133.100006,130.899994,132.580002,131.032379,6306100
2019-10-22,132.550003,134.050003,131.610001,133.960007,132.396271,4161600
2019-10-23,133.520004,134.570007,132.699997,134.380005,132.811371,3610900
2019-10-24,134.830002,135.070007,133.300003,134.070007,132.504990,2598500
2019-10-25,134.119995,135.929993,134.100006,135.440002,133.858994,2579100
